scene,method,frames,mse,psnr,ssim,static_mse,moving_mae
scene_1,noisy,240,0.0001704526,37.755257,0.987297,0.0000000000,54.346409
scene_1,2dnr,240,0.0001704159,37.756335,0.987304,0.0000000000,54.342885
scene_1,dataset_3dnr,240,0.0000868000,40.848679,0.994515,0.0000000000,48.773949
scene_1,ghost3dnr,240,0.0131534187,26.377730,0.859550,0.0000000000,216.388565
scene_2,noisy,240,0.0001150096,39.399435,0.987249,761.1079317729,57.551153
scene_2,2dnr,240,0.0001149658,39.401097,0.987257,759.3097941081,57.549466
scene_2,dataset_3dnr,240,0.0000472493,43.356912,0.994538,124.7275249799,51.637983
scene_2,ghost3dnr,240,0.0040285454,33.223542,0.959358,99.7820681254,179.574676
scene_3,noisy,240,0.0001178926,39.296124,0.987389,767.0283836365,51.698314
scene_3,2dnr,240,0.0001178494,39.297732,0.987397,765.2275258382,51.694956
scene_3,dataset_3dnr,240,0.0000546319,42.775202,0.994305,118.4124928474,46.884057
scene_3,ghost3dnr,240,0.0068264377,26.902510,0.923597,97.7774804433,242.266574
scene_4,noisy,240,0.0001152826,39.388237,0.987342,767.9245910645,53.679398
scene_4,2dnr,240,0.0001152386,39.389902,0.987350,766.1439252218,53.676941
scene_4,dataset_3dnr,240,0.0000483791,43.208758,0.994534,126.1856699944,48.370705
scene_4,ghost3dnr,240,0.0047457764,27.961529,0.938619,97.9522538503,219.417029
scene_5,noisy,180,0.0001119475,39.512762,0.987196,772.6880591498,61.154353
scene_5,2dnr,180,0.0001119029,39.514500,0.987204,771.0677642822,61.154173
scene_5,dataset_3dnr,180,0.0000408669,43.887565,0.994776,156.3012516446,54.508473
scene_5,ghost3dnr,180,0.0002362611,36.892479,0.987991,100.8065654755,105.243540
scene_6,noisy,240,0.0000410258,43.891966,0.992451,440.1199713389,20.116487
scene_6,2dnr,240,0.0000409403,43.901177,0.992473,438.2591294607,20.106058
scene_6,dataset_3dnr,240,0.0000094075,50.282210,0.997918,65.9987939676,18.375710
scene_6,ghost3dnr,240,0.0007026261,31.916342,0.965250,46.2823982875,201.614203
scene_7,noisy,240,0.0000410261,43.891979,0.992241,451.9277861277,19.292248
scene_7,2dnr,240,0.0000409387,43.901384,0.992264,450.1269011180,19.276744
scene_7,dataset_3dnr,240,0.0000084520,50.746545,0.998003,69.5068493684,16.625973
scene_7,ghost3dnr,240,0.0001325032,40.101840,0.987097,45.3153463920,184.230765
scene_8,noisy,240,0.0000410310,43.891387,0.992500,437.9327002207,20.055673
scene_8,2dnr,240,0.0000409453,43.900611,0.992522,436.0746248881,20.045088
scene_8,dataset_3dnr,240,0.0000094051,50.283510,0.997915,65.6130740801,18.277637
scene_8,ghost3dnr,240,0.0007024870,31.918382,0.965191,46.1636223714,201.790764
scene_9,noisy,240,0.0000410349,43.891012,0.992285,451.6731666565,19.202961
scene_9,2dnr,240,0.0000409473,43.900440,0.992308,449.8725399017,19.186965
scene_9,dataset_3dnr,240,0.0000084514,50.747011,0.998004,69.1050962289,16.428715
scene_9,ghost3dnr,240,0.0001321511,40.110325,0.987126,45.3195952336,183.717925
ALL,noisy,2100,0.0000876247,41.261711,0.989617,532.2549228777,39.063818
ALL,2dnr,2100,0.0000875621,41.266806,0.989632,530.6646015712,39.056541
ALL,dataset_3dnr,2100,0.0000346773,46.304514,0.996093,86.4886217372,35.000695
ALL,ghost3dnr,2100,0.0034972733,32.706464,0.951632,63.3368787212,195.192361
